Source,Target,Gen_comp,ChrF,Cos_sim_t5,Gen_comp1,Gen_comp2,Total_ChrF
It was do my point of that be.,So it was done my point of all that was.,It was done to my point of that is.,51.21531366405513,0.91359794,It was done to my point of that was.,It was done with my point of that being.,68.56054107467511
Those be things i said.,That was the first thing i said.,Those are the things i said.,33.89210666383621,0.8004786,Those are the things i said.,That is what i said.,59.42186842115383
But none ours go killers ends its life.,But none of ours go to the killers at the end of their life.,But none of ours goes to the killer to end its life.,58.28919035684043,0.9352503,But none of ours goes to a killer to end his life.,But none of ours goes to the killer and ends up with a life.,66.78629232516599
Of defeats purpose of getting morning.,Kind of defeats the purpose of getting up in the morning.,Of defeats the purpose of getting to the morning.,76.38368221370561,0.9395045,Of defeats the purpose of getting up early.,Of defeating the purpose of getting up at the morning.,69.82366863340323
There was people the bac.,There was like people in the bac.,There was a lot of people in the bac.,72.29204097787702,0.95215714,There was a person in the bac.,There was a lot of people the bac.,65.51917984227062
But we uh we have ones.,But we uh we had this one.,But we uh we have one.,58.86822499293578,0.88580436,But we uh we have the ones.,But we uh we have a few.,68.05462471324736
Times i go out there they be.,By the time i went out there again they were still.,The times i go out there they are.,33.24425646683737,0.7395851,Every time i go out there they are.,How often i go out there they are.,69.41201913976923
Pick ones you want then.,Pick which ones you want then.,Pick which ones you want then.,100.0,1.0000004,Pick the ones you want then.,Pick one you want then.,69.61040744307911
So it just goes the trash this.,So it just goes in the trash like this.,So it just goes to the trash here.,55.80181231551108,0.93716633,So it just goes to the trash here.,So it just goes in the trash like this.,69.3285660663576
Stay it you be those.,Stay out of it you are not involved in this.,Stay it you are like that.,27.756419278740584,0.7035769,Stay it for you to be like that.,Stay it you are the same.,48.82256257414175
Do you want them put.,Where do you want them put.,Do you want them put.,72.74827019151975,0.9277104,Do you want them to put in.,Do you want them to put there.,65.76859033206642
There be just those whole.,There was just so much to this whole.,There is just those whole.,36.40888469546045,0.75374687,There is just that one whole.,There is just those whole things.,68.51765481134548
Now way do it be all bent.,Now the traditional way to do it is not all bent over.,Now how does it be all bent.,20.435408833415085,0.69610894,Now the way do you do it is all bent.,Now how does it be all bent.,54.94350996067244
You mean ones that i.,You mean the one that i.,You mean the ones that i.,82.59544654030196,0.9053243,You mean those that i.,You mean the ones that i never.,61.88254268585719
To kid and i put.,To the kids and i put excellent.,To kid and i put in.,28.483355399185662,0.83630365,To kid and i put the.,To kid and i put it there.,67.21855507266596
I would go than that.,I would go further than that.,I would go farther than that.,82.97912518450275,0.99718225,I would go more than that.,I would go more than this.,65.08518365957752
But i do miss lot thing about a city.,But i do miss a lot of things about a city.,But i do miss a lot about a city.,68.74816094778834,0.98104453,But i do miss a lot of things about a city.,But i do miss a lot of the stuff about a city.,69.70563561694264
And i see guys nierman.,And i saw this guy nierman.,And i see the guys nierman.,47.549540815794685,0.9151212,And i saw the guys nierman.,And i saw a guy nierman.,63.55541688378159
This be i think battle.,That is i think half the battle.,This is i think a battle.,46.64357982690199,0.7853837,This is i think the battle.,This is i think a good battle.,69.68181218729524
We will write letters one.,We will write very short letters to one another.,We will write letters one.,41.200606403735776,0.84295774,We will write a letter one.,We will write a letter on the one.,68.15225858567314
I be voting favors it.,I am voting in favor of it.,I am voting for it.,45.61048496235311,0.9702085,I am voting for it.,I am voting in favor of it.,59.88202458076386
Certain areas of hold their values.,Certain areas s of held their value.,Certain areas hold their values.,71.84379217096422,0.9498866,Certain areas of hold their values.,Certain areas of the country hold up their values.,65.24941977869065
I put it their ha.,I put it on their ha.,I put it on their ha.,100.0,0.99999994,I put it in their ha.,I put it on his ha.,55.87894689309054
And this is kind of you go by.,And that is kind of where you go by to.,And this is kind of the way you go by.,48.7203440063256,0.92449725,And this is the kind of you go by.,And this is the kind of thing you go by.,68.69511288051388
I be all night night i come and told you.,I was home all night last night i came home and told you.,I was all night night i came and told you.,63.09889623641299,0.8924259,I was all night all night when i came and told you.,I was all night all night when i came to tell you.,65.54185656841008
I mean it be me.,I mean it is from me.,I mean it is me.,57.19012143525959,0.9162105,I mean it is me.,I mean it is just me.,68.65617052865403
I mean i think these are.,I mean i really think those are the.,I mean i think these are really good.,53.91842327829853,0.8528342,I mean i think these are really awesome.,I mean i think these are not too bad.,68.2237118380509
It is one long go flus things.,It is just one of these long going flu things.,It is one long go through the flu.,30.127571608500165,0.93369144,It is one long way from the flu.,It is one long go flus things.,53.18877433938337
