Source,Target,Gen_comp,ChrF,Cos_sim_t5,Gen_comp1,Gen_comp2,Total_ChrF
That is what i would do i would pick it night.,That is what i would do i would pick it up the night before.,I would go to the beach.,13.141534462245785,0.7375215,I would go to the beach and swim in the ocean.,I would go to the beach and go swimming.,59.977862519890145
They come they will be pretty shocked.,So when they come in they will be pretty shocked.,They are pretty naive.,17.999223161171198,0.6933195,They are pretty naive about what is going on.,They are pretty naive about what is going to happen.,59.814204040227324
It will be kind a pain getting.,It will be kind of a pain getting the.,I am going to need a new pair of shoes.,17.5179407650672,0.73378414,I need to get a new tire put on my car.,I need to get a new car.,37.135980386625704
And they do not have third editors.,And then they do not have the third editor.,They are not snobs.,10.31178937210567,0.627799,They are not snooty.,They are not censors.,60.002229813064375
Because you can like see years ago.,Because you cannot like see the material years ago.,You can like see a lot of time ago.,27.324193906464522,0.82665163,You can like see a lot of time.,You can like see a picture of a girl.,62.95223021178117
I go and see their house night.,I went and saw their house the other night.,I like to see their house.,31.324454286934312,0.84652233,I like to go to the movies.,I like to go to the house.,49.52670024492824
And uh we are pull and i see girls.,And uh we are pulling up and i see this girl.,And uh we are pull and i see girls.,57.47395613486211,0.85373795,And uh we are pull and i see girls and uh we are pull and i see girls.,And uh we are pull and i see girls and uh we are pull and i see girls and,67.52936774779278
I get up so i think these be probably.,When i got up so i thought that is probably not good.,a good idea,6.735609654838511,0.6644196,waking up,a good idea to try them.,20.93727119051443
But one thing we have to be.,But one thing we have to be careful of.,We have to be honest with each other.,32.518218905991795,0.77568966,We have to be honest.,We have to be honest with ourselves.,65.57180859937628
And we report how sales we had and they.,And we report how much in sales we had and they.,report how much they had.,40.921618672281795,0.88372195,report how they had.,report how they did.,68.70678425844618
Thereby conceptualize will similar to a mas.,Thereby conceptualizing free will as similar to a healthy ma.,The mas has a lot of will.,12.211866056451136,0.75220215,The mas has a lot of willpower.,The mas has a lot of energy.,69.61874632634402
Fish be run do you want come and blah,The fish are running do not you want to come up here and blah.,Fish be run do you want come and blah,33.83103779320832,0.9107511,Fish be run do you want come and blah blah blah blah blah bla,blah blah blah blah blah blah blah blah ,48.50619716243848
I do not have try grab him heads.,I do not have to try to grab him around the head.,I do not have to try grab him heads.,55.58789023908756,0.9597144,I do not want to grab him heads.,I do not have to try grab him the heads.,63.158768586443706
He testified trial youm five years ago.,He testified in a trial youm about five years ago.,He was a witness in the case.,8.961687790558958,0.86406064,He was a witness at the trial.,He is a witness.,55.916299559181546
Now i am i am forgetting his shoes.,Now i am not worried i am forgetting my shoes.,I am going to go to the shoe store.,18.487781826858086,0.7864071,I am going to ask him to bring them.,I am going to go to the shoe store to buy some.,49.07608768566558
Yeah but why do not you just put.,Yeah but why do not you just put the other.,I do not know.,10.63278742812577,0.7213048,I do not know where to put it.,I do not know where to start.,53.219275940071164
That be why i take rock over here.,That is why i took out all these rocks over here.,Rock be my friend.,5.9079525119426854,0.7216712,Rock be a good person.,Rock be a good thing to take.,32.25752480805164
Alright i be pouring cold liquid nitrogens over balloon.,Alright i am pouring the very cold liquid nitrogen over this balloon.,The balloon will pop when it freezes.,16.207990369879802,0.8196986,The balloon will pop.,The balloon will pop when it gets cold.,67.66286228089011
I want to rewind it and hear that.,I want to rewind it and hear that back again.,I want to rewind it and hear that.,74.5478409020513,0.96304417,I want to rewind it and hear it.,I want to rewind it and listen to that.,69.91288208422132
Uh i had lot interesting adventures there.,So uh i had a lot of interesting adventures there.,I was in the middle of the desert.,14.092023446717569,0.7393272,I was in the middle of nowhere.,I was in the middle of a forest.,67.70644278195586
You can overcome that little bits by get their muscle shape.,You can overcome that a little bit by getting your muscle in better shape.,You can do this by lifting weights.,15.856747931062992,0.82484895,You can do this by lifting weights at the gym.,You can do this by working out.,63.26936269151703
Like how come it is the news.,Like how come it is not on the news.,I just can't get my head around it.,9.567901234567902,0.68924975,I just can't get my head around some things.,I just can't understand it.,57.33158646771707
Stephanie said to me friday this is historic day.,Stephanie said to me on friday this is an historic day.,Stephanie is an historian.,40.28477065932058,0.8423052,Stephanie is an important person.,Stephanie is very patriotic.,45.00941258732364
They have a tendencies do everything you.,They have a tendency to do everything for you.,They are a slave to their parents.,15.98370759250734,0.73505676,They are a slave to you.,They are a slave to their family.,65.41014170705897
And you turn it and put chocolate side.,And then you turn it over and put chocolate on the other side.,And you put it on a plate.,15.024052877420315,0.7918633,And you put it on a cookie sheet.,And you put it on the cookie.,59.21165916788445
Today and i mean everything looked at stores.,Today and i mean everything looked good at the store.,I shopped a lot.,5.768080781791253,0.75689447,I shopped for a new dress.,I shopped for a new wardrobe.,43.537417144088316
I ate today than i have week long though.,I ate more today than i probably have all week long though.,I am a little out of shape.,9.43680233556586,0.7468025,I am a little worried about my health.,I am a little out of control.,44.79632551709348
I say i would be get seven hundred.,I said i would be happy to get seven hundred.,I'm a very generous person.,11.538704201756254,0.7500248,I'm a very optimistic person.,I'm a very lucky man.,41.110968971338394
I always make sure i have a fivehundreddollar balance.,So i always make sure i have a minimum fivehundreddollar balance.,I don't want to lose money.,6.571831164307654,0.7585591,I don't want to have a lot of money in my account.,I don't want to have a lot of money in my wallet.,53.79723694379156
But she get five or six book,But she got about five or six books and a bunch of cd's apparently frank sinatra.,She can't decide how many books to get.,11.943350800523604,0.8017728,She can't decide which book to read first.,She can't decide which book to read.,63.18188498732885
Let me try respond his question sir.,Let me try to respond to your question sir.,I'm not sure what he wants to know.,10.477541896060478,0.7675511,I'm not sure what he's asking.,I'm not sure what he wants to ask.,69.28233892626825
Where be these i be going take it.,Where was this i am going to take it off.,I be going to take it.,40.53400284618907,0.767211,I be going take it.,I be going take it to the store.,60.30071922966809
Definitely um you know check her your insulin.,Definitely um you know check with her on your insulins.,I'm taking insulin.,14.673299926895703,0.82439435,I'm sorry.,I'm going to go get some.,11.916695748526296
Neil say these was one most games he saw.,Neil said that was one of the most exciting games he ever saw.,Neil is a gamer.,10.77726085678769,0.76896214,Neil is a fan of video games.,Neil was a fan of football.,26.350830772649232
I would put all your guys rights.,I would put all your guys like right around there though.,I would do anything for you.,16.201064033412795,0.6757214,I would put your guys right.,I would do anything for you..,49.42903768537453
July second water overtop our spillway here.,On july second water overtopped our spillways out here.,We have a lot of water to deal with.,15.734287123956697,0.8394057,We have a lot of water.,We have a lot of water coming into the city.,58.162085021529045
Because it no has freedoms that adam had.,Because it no longer has the freedom that adam had.,Adam was a free man.,11.064958542667288,0.7807585,Adam was a free man and had a lot of freedoms.,Adam was a free man and had a lot of freedom.,62.5513140257268
Folks question be did they have to use spillways.,Folks the question is did they ever have to use the spillway.,They didn't have to use spillways.,35.65707626812266,0.80096227,They did not have to use spillways.,"They didn't have to use spillways, but they had to use berms.",62.821164015931444
