Source,Target,Gen_comp,ChrF,Cos_sim_t5,Gen_comp1,Gen_comp2,Total_ChrF
That is what i would do i would pick it night.,That is what i would do i would pick it up the night before.,I would go to the beach.,13.141534462245785,0.7375215,I would go to the beach and swim in the ocean.,I would go to the beach and go swimming.,59.977862519890145
We stay up three thirty night.,We stayed up till like three thirty last night.,I don't want to go to bed.,5.222206395555872,0.7582873,I don't want to go to bed early.,I don't want to sleep.,66.95278379983817
When they quit going lewiston week.,When they quit going to lewiston every week.,Lewiston is a town in southeastern Maine.,24.009858523562645,0.72781384,Lewiston is a small town with a population of about.,"Lewiston is a small town with a population of about 3,000.",51.843148281368144
This bothers me great deals.,That bothers me a great deal.,I'm very upset about it.,10.122205062781173,0.87824667,I'm very picky about my food.,I'm very picky about my burgers.,46.56652243106422
They come they will be pretty shocked.,So when they come in they will be pretty shocked.,They are pretty naive.,17.999223161171198,0.6933195,They are pretty naive about what is going on.,They are pretty naive about what is going to happen.,59.814204040227324
It will be kind a pain getting.,It will be kind of a pain getting the.,I am going to need a new pair of shoes.,17.5179407650672,0.73378414,I need to get a new tire put on my car.,I need to get a new car.,37.135980386625704
And they do not have third editors.,And then they do not have the third editor.,They are not snobs.,10.31178937210567,0.627799,They are not snooty.,They are not censors.,60.002229813064375
Because you can like see years ago.,Because you cannot like see the material years ago.,You can like see a lot of time ago.,27.324193906464522,0.82665163,You can like see a lot of time.,You can like see a picture of a girl.,62.95223021178117
Those be things i said.,That was the first thing i said.,I told you.,2.212389380530974,0.7891318,I told them to say it.,I told them to say.,46.01405174983632
There is like tamara that shop.,There is like tamara that sandwich shop.,Tamara is a very beautiful girl.,16.23749835621506,0.78514844,Tamara is a sweet person.,Tamara is a very good customer.,39.827784362082724
I go and see their house night.,I went and saw their house the other night.,I like to see their house.,31.324454286934312,0.84652233,I like to go to the movies.,I like to go to the house.,49.52670024492824
And i will hand your documents.,And i will hand back your documents.,I'm waiting for you here.,10.726965795310901,0.74758476,I'm waiting for you to come.,I'm waiting for you here at the office.,61.31047611798239
And uh we are pull and i see girls.,And uh we are pulling up and i see this girl.,And uh we are pull and i see girls.,57.47395613486211,0.85373795,And uh we are pull and i see girls and uh we are pull and i see girls.,And uh we are pull and i see girls and uh we are pull and i see girls and,67.52936774779278
I get up so i think these be probably.,When i got up so i thought that is probably not good.,a good idea,6.735609654838511,0.6644196,waking up,a good idea to try them.,20.93727119051443
Time you go bed last nights.,Time you go to bed last night.,I'm going to sleep.,11.230330632430904,0.76034486,I'm going to sleep now.,I'm going to get some sleep.,61.11444157888458
Which you know i am.,Of which you know i am comfortable with.,I'm just a good person.,6.641447529503941,0.7528091,"I'm just a good person,",I'm just a big kid.,62.57846897635336
See i be pe teacher but.,See i am originally a pe teacher but.,i'm a nerd.,5.194271587866017,0.7288444,i'm fat.,i'm a liar.,20.5201355661882
But one thing we have to be.,But one thing we have to be careful of.,We have to be honest with each other.,32.518218905991795,0.77568966,We have to be honest.,We have to be honest with ourselves.,65.57180859937628
And we report how sales we had and they.,And we report how much in sales we had and they.,report how much they had.,40.921618672281795,0.88372195,report how they had.,report how they did.,68.70678425844618
He be like that be.,He is like that is fine.,He be a snob.,7.811992607943507,0.70235425,He be a good person.,He be a nice man.,24.728509405311218
You have give them back.,You have to give them back.,You borrowed them from a friend.,17.147306746806365,0.83112556,You are not allowed to keep them.,You borrowed them from me.,42.97833048418388
I feel that uh margaret is.,So i felt that uh margaret is.,a narcissist,7.086019888616672,0.6822338,a narcissist.,a narcissistic person.,62.13011895847698
Thereby conceptualize will similar to a mas.,Thereby conceptualizing free will as similar to a healthy ma.,The mas has a lot of will.,12.211866056451136,0.75220215,The mas has a lot of willpower.,The mas has a lot of energy.,69.61874632634402
Fish be run do you want come and blah,The fish are running do not you want to come up here and blah.,Fish be run do you want come and blah,33.83103779320832,0.9107511,Fish be run do you want come and blah blah blah blah blah bla,blah blah blah blah blah blah blah blah ,48.50619716243848
I do not have try grab him heads.,I do not have to try to grab him around the head.,I do not have to try grab him heads.,55.58789023908756,0.9597144,I do not want to grab him heads.,I do not have to try grab him the heads.,63.158768586443706
He testified trial youm five years ago.,He testified in a trial youm about five years ago.,He was a witness in the case.,8.961687790558958,0.86406064,He was a witness at the trial.,He is a witness.,55.916299559181546
I am taking and spaces balloon.,I am sorry taking up more and more space inside these balloons.,I am taking and spaces balloon.,28.70569673588853,0.8254174,I am taking a balloon.,I am taking a balloon to the park.,62.35073950202417
They film movie at oakland catholic.,They filmed a movie at oakland catholic.,Oakland catholic is a school.,42.14260618528698,0.87431145,Oakland catholic is a private school.,Oakland Catholic is a high school.,64.88949122614243
Now i am i am forgetting his shoes.,Now i am not worried i am forgetting my shoes.,I am going to go to the shoe store.,18.487781826858086,0.7864071,I am going to ask him to bring them.,I am going to go to the shoe store to buy some.,49.07608768566558
Yeah but why do not you just put.,Yeah but why do not you just put the other.,I do not know.,10.63278742812577,0.7213048,I do not know where to put it.,I do not know where to start.,53.219275940071164
That be why i take rock over here.,That is why i took out all these rocks over here.,Rock be my friend.,5.9079525119426854,0.7216712,Rock be a good person.,Rock be a good thing to take.,32.25752480805164
Alright i be pouring cold liquid nitrogens over balloon.,Alright i am pouring the very cold liquid nitrogen over this balloon.,The balloon will pop when it freezes.,16.207990369879802,0.8196986,The balloon will pop.,The balloon will pop when it gets cold.,67.66286228089011
I want to rewind it and hear that.,I want to rewind it and hear that back again.,I want to rewind it and hear that.,74.5478409020513,0.96304417,I want to rewind it and hear it.,I want to rewind it and listen to that.,69.91288208422132
I give stickers you know to.,I gave sticker you know to the.,I'm a sticker giver.,26.023345568340904,0.8960464,I'm a sticker giver,I'm a sticker monster.,69.22894513456689
Uh i had lot interesting adventures there.,So uh i had a lot of interesting adventures there.,I was in the middle of the desert.,14.092023446717569,0.7393272,I was in the middle of nowhere.,I was in the middle of a forest.,67.70644278195586
You can overcome that little bits by get their muscle shape.,You can overcome that a little bit by getting your muscle in better shape.,You can do this by lifting weights.,15.856747931062992,0.82484895,You can do this by lifting weights at the gym.,You can do this by working out.,63.26936269151703
So now we can have christmas.,So now we can have a merry christmas.,Christmas is a holiday.,24.789033021493026,0.83549553,Christmas is a great holiday.,Christmas is a very important holiday.,58.727396020877045
Well she never did anything it.,Well she never did anything about it.,She was always too shy to ask for help.,10.286738351254481,0.7924441,She was always afraid of spiders.,She was always too shy.,57.26860422972386
Like how come it is the news.,Like how come it is not on the news.,I just can't get my head around it.,9.567901234567902,0.68924975,I just can't get my head around some things.,I just can't understand it.,57.33158646771707
And he was consider killer.,And he was considered a killer.,But he was a nice guy.,15.100628134795254,0.74877155,But he was a good person.,But he was a nice guy to everyone.,45.36951686313455
You probably will have ta.,Then you probably will have a ta.,Tacos if you go to Mexico for a vacation.,12.543412780322075,0.6983073,Tacos if you go to Mexico.,Tacos if you go to Mexico for the first time.,66.80496362287106
Stephanie said to me friday this is historic day.,Stephanie said to me on friday this is an historic day.,Stephanie is an historian.,40.28477065932058,0.8423052,Stephanie is an important person.,Stephanie is very patriotic.,45.00941258732364
He said you put it.,He said when you put it in.,I put it on the shelf.,20.824128121091988,0.73930573,He said you put it in the bag.,He said you put it in a pot.,39.261353816062815
I think i will stop.,I think i will stop there.,I have been smoking for too long.,12.118293064679847,0.7111613,I have been smoking a lot lately.,I have been smoking a lot of cigarettes.,57.077402351611525
I have like city life.,I have always liked city life.,I'm a city person.,11.216215003007331,0.8574164,I'm a city girl.,I'm a big city girl.,45.24837183874338
What would i do with scanners.,What would i do with a scanner.,I would use scanners to scan documents.,32.59189163873673,0.8467499,I would use scanners to scan documents and photos.,I would use scanners to scan documents and then send them to my email.,66.85982602771351
He will have much lefts.,He will have this much left.,He is a rich man.,10.436767511583538,0.7693184,He is a rich person now.,He is a rich man..,60.82725509354297
They have a tendencies do everything you.,They have a tendency to do everything for you.,They are a slave to their parents.,15.98370759250734,0.73505676,They are a slave to you.,They are a slave to their family.,65.41014170705897
And you turn it and put chocolate side.,And then you turn it over and put chocolate on the other side.,And you put it on a plate.,15.024052877420315,0.7918633,And you put it on a cookie sheet.,And you put it on the cookie.,59.21165916788445
Today and i mean everything looked at stores.,Today and i mean everything looked good at the store.,I shopped a lot.,5.768080781791253,0.75689447,I shopped for a new dress.,I shopped for a new wardrobe.,43.537417144088316
I love bit potty training.,I loved the little bit about the potty training.,I have a daughter who is potty training.,37.32806286689158,0.813443,I have a daughter who is potty training now.,I have a daughter who is three years old.,68.1617027435911
It can keep itself right.,So it can keep itself waterproof right.,It is a robot.,6.452772114025014,0.7429466,It is a dog.,It is a self contained system.,17.782202369678796
I ate today than i have week long though.,I ate more today than i probably have all week long though.,I am a little out of shape.,9.43680233556586,0.7468025,I am a little worried about my health.,I am a little out of control.,44.79632551709348
You would have have monies left.,You would not have had any money left anyway proba.,You could get a refund for the money you spent.,20.609959004798096,0.7803623,You could get a refund.,You could get a refund for the money that you spent.,68.2915538461334
No it is it looks.,No it is it looks pretty good.,It is not as easy as it looks.,32.46788734566889,0.73285335,It is not it looks.,It is not as easy as you think.,51.1903028902422
I say i would be get seven hundred.,I said i would be happy to get seven hundred.,I'm a very generous person.,11.538704201756254,0.7500248,I'm a very optimistic person.,I'm a very lucky man.,41.110968971338394
Because i have receive note.,No because i have received notes back.,I am not sure what to do next.,10.600467296753404,0.67128915,I am not sure what to do.,I am not going to be able to go to school.,35.99796874308835
